id,val,idx
106.122.252.2,1350,0
sina1st.xdwscache.ourglb0.com,51,1
meitu.xdwscache.ourglb0.com,22,2
bbktf.xdwscache.ourglb0.com,60,3
bestv.xdwscache.ourwebpic.com,60,4
bianfeng.xdwscache.ourglb0.com,49,5
huomao.xdwscache.ourwebpic.com,60,6
ipv6.xdwscache.ourglb0.com,52,7
meilishuo.xdwscache.ourwebcdn.com,16,8
timg163.xdwscache.ourglb0.com,21,9
sinaimg1st.xdwscache.ourglb0.com,58,10
huya.xdwscache.ourglb0.com,12,11
hunantv.xdwscache.ourglb0.com,31,12
gaoxin.xdwscache.ourglb0.com,33,13
ehw.xdwscache.speedcdns.com,5,14
e.xdwscache.ourglb0.com,21,15
duowan.xdwscache.ourglb0.com,31,16
btian.xdwscache.ourwebcdn.com,19,17
08913.xdwscache.ourwebpic.com,38,18
163.xdwscache.ourglb0.com,34,19
163.xdwscache.speedcdns.com,8,20
1st.xdwscache.ourwebpic.com,12,21
37w.xdwscache.ourglb0.com,37,22
4399.xdwscache.ourglb0.com,36,23
4399hw.xdwscache.ourglb0.com,10,24
51y5.xdwscache.ourglb0.com,37,25
7k7k.xdwscache.ourwebcdn.com,50,26
acc.xdwscache.ourglb0.com,35,27
youzu.xdwscache.ourglb0.com,37,28
yidong4g.xdwscache.ourglb0.com,37,29
xiaomi2.xdwscache.ourglb0.com,38,30
sinajs.xdwscache.ourglb0.com,23,31
pstatp.xdwscache.ourglb0.com,10,32
people.xdwscache.ourglb0.com,7,33
opthw.xdwscache.speedcdns.com,3,34
oppopic.xdwscache.ourglb0.com,12,35
oppo.xdwscache.ourglb0.com,52,36
neteaseimg.xdwscache.ourglb0.com,23,37
kugou.xdwscache.ourwebpic.com,18,38
pingan.xdwscache.ourglb0.com,12,39
sstraxd.xdwscache.ourglb0.com,11,40
meizu.xdwscache.ourglb0.com,7,41
gaoxinzny.xdwscache.ourglb0.com,6,42
yayi.xdwscache.ourwebpic.com,6,43
yjboxipv6.xdwscache.ourglb0.com,16,44
oppo2.xdwscache.ourglb0.com,5,45
ksyun.xdwscache.ourglb0.com,31,46
gifshow.xdwscache.ourwebcdn.com,8,47
1stcncloud163.xdwscache.ourwebpic.com,2,48
douyu.xdwscache.ourwebpic.com,2,49
opt.xdwscache.ourwebpic.com,2,50
jd.xdwscache.ourglb0.com,2,51
youshiuc.xdwscache.ourglb0.com,5,52
