source,target,IP,ad,val,id
0,1,106.122.252.2,sina1st.xdwscache.ourglb0.com,51,106.122.252.2-sina1st.xdwscache.ourglb0.com
0,2,106.122.252.2,meitu.xdwscache.ourglb0.com,22,106.122.252.2-meitu.xdwscache.ourglb0.com
0,3,106.122.252.2,bbktf.xdwscache.ourglb0.com,60,106.122.252.2-bbktf.xdwscache.ourglb0.com
0,4,106.122.252.2,bestv.xdwscache.ourwebpic.com,60,106.122.252.2-bestv.xdwscache.ourwebpic.com
0,5,106.122.252.2,bianfeng.xdwscache.ourglb0.com,49,106.122.252.2-bianfeng.xdwscache.ourglb0.com
0,6,106.122.252.2,huomao.xdwscache.ourwebpic.com,60,106.122.252.2-huomao.xdwscache.ourwebpic.com
0,7,106.122.252.2,ipv6.xdwscache.ourglb0.com,52,106.122.252.2-ipv6.xdwscache.ourglb0.com
0,8,106.122.252.2,meilishuo.xdwscache.ourwebcdn.com,16,106.122.252.2-meilishuo.xdwscache.ourwebcdn.com
0,9,106.122.252.2,timg163.xdwscache.ourglb0.com,21,106.122.252.2-timg163.xdwscache.ourglb0.com
0,10,106.122.252.2,sinaimg1st.xdwscache.ourglb0.com,58,106.122.252.2-sinaimg1st.xdwscache.ourglb0.com
0,11,106.122.252.2,huya.xdwscache.ourglb0.com,12,106.122.252.2-huya.xdwscache.ourglb0.com
0,12,106.122.252.2,hunantv.xdwscache.ourglb0.com,31,106.122.252.2-hunantv.xdwscache.ourglb0.com
0,13,106.122.252.2,gaoxin.xdwscache.ourglb0.com,33,106.122.252.2-gaoxin.xdwscache.ourglb0.com
0,14,106.122.252.2,ehw.xdwscache.speedcdns.com,5,106.122.252.2-ehw.xdwscache.speedcdns.com
0,15,106.122.252.2,e.xdwscache.ourglb0.com,21,106.122.252.2-e.xdwscache.ourglb0.com
0,16,106.122.252.2,duowan.xdwscache.ourglb0.com,31,106.122.252.2-duowan.xdwscache.ourglb0.com
0,17,106.122.252.2,btian.xdwscache.ourwebcdn.com,19,106.122.252.2-btian.xdwscache.ourwebcdn.com
0,18,106.122.252.2,08913.xdwscache.ourwebpic.com,38,106.122.252.2-08913.xdwscache.ourwebpic.com
0,19,106.122.252.2,163.xdwscache.ourglb0.com,34,106.122.252.2-163.xdwscache.ourglb0.com
0,20,106.122.252.2,163.xdwscache.speedcdns.com,8,106.122.252.2-163.xdwscache.speedcdns.com
0,21,106.122.252.2,1st.xdwscache.ourwebpic.com,12,106.122.252.2-1st.xdwscache.ourwebpic.com
0,22,106.122.252.2,37w.xdwscache.ourglb0.com,37,106.122.252.2-37w.xdwscache.ourglb0.com
0,23,106.122.252.2,4399.xdwscache.ourglb0.com,36,106.122.252.2-4399.xdwscache.ourglb0.com
0,24,106.122.252.2,4399hw.xdwscache.ourglb0.com,10,106.122.252.2-4399hw.xdwscache.ourglb0.com
0,25,106.122.252.2,51y5.xdwscache.ourglb0.com,37,106.122.252.2-51y5.xdwscache.ourglb0.com
0,26,106.122.252.2,7k7k.xdwscache.ourwebcdn.com,50,106.122.252.2-7k7k.xdwscache.ourwebcdn.com
0,27,106.122.252.2,acc.xdwscache.ourglb0.com,35,106.122.252.2-acc.xdwscache.ourglb0.com
0,28,106.122.252.2,youzu.xdwscache.ourglb0.com,37,106.122.252.2-youzu.xdwscache.ourglb0.com
0,29,106.122.252.2,yidong4g.xdwscache.ourglb0.com,37,106.122.252.2-yidong4g.xdwscache.ourglb0.com
0,30,106.122.252.2,xiaomi2.xdwscache.ourglb0.com,38,106.122.252.2-xiaomi2.xdwscache.ourglb0.com
0,31,106.122.252.2,sinajs.xdwscache.ourglb0.com,23,106.122.252.2-sinajs.xdwscache.ourglb0.com
0,32,106.122.252.2,pstatp.xdwscache.ourglb0.com,10,106.122.252.2-pstatp.xdwscache.ourglb0.com
0,33,106.122.252.2,people.xdwscache.ourglb0.com,7,106.122.252.2-people.xdwscache.ourglb0.com
0,34,106.122.252.2,opthw.xdwscache.speedcdns.com,3,106.122.252.2-opthw.xdwscache.speedcdns.com
0,35,106.122.252.2,oppopic.xdwscache.ourglb0.com,12,106.122.252.2-oppopic.xdwscache.ourglb0.com
