deg,idx,rank
6256,11370,1
4391,8486,2
4143,3147,3
946,10532,4
930,7293,5
816,6438,6
671,5802,7
553,1437,8
506,5733,9
470,669,10
467,12550,11
450,61,12
371,13721,13
357,13572,14
231,8095,15
195,2679,16
165,491,17
163,1997,18
133,8260,19
128,13266,20
127,2954,21
120,13116,22
113,2335,23
108,1220,24
106,11243,25
103,14143,26
101,13196,27
96,2249,28
90,2427,29
89,1851,30
86,12914,31
85,6331,32
82,2799,33
80,2093,34
79,5669,35
79,7163,36
79,12504,37
78,13440,38
78,13501,39
69,8051,40
68,2750,41
67,7112,42
66,0,43
66,3061,44
66,14252,45
65,5516,46
65,12989,47
65,14315,48
61,2873,49
61,8419,50
59,1917,51
57,1335,52
56,8376,53
54,2627,54
54,11163,55
53,6397,56
52,14196,57
51,2215,58
50,1389,59
49,1176,60
48,1301,61
48,5594,62
47,2151,63
47,5628,64
47,11205,65
46,1811,66
46,14030,67
45,3119,68
43,7074,69
43,13364,70
43,14072,71
42,1133,72
41,13403,73
40,1961,74
40,2525,75
38,630,76
37,2923,77
37,7233,78
36,14112,79
36,14367,80
34,2497,81
34,13081,82
33,7259,83
31,2556,84
31,2609,85
31,7046,86
30,11302,87
29,11325,88
29,14227,89
27,2193,90
27,7210,91
26,2582,92
26,5568,93
24,13037,94
24,13061,95
23,11349,96
21,2659,97
21,12515,98
19,8468,99
17,12534,100
